Book: 0062700782 sorted results:
[price: 19.95, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 2536]
[price: 24.99, shipFee: 0.0, condition: New, positive: 96, rating: 598]
[price: 21.0, shipFee: 3.99, condition: New, positive: 95, rating: 709]
[price: 19.0, shipFee: 5.99, condition: Used - Very Good, positive: 99, rating: 857]
[price: 24.95, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 4938]
[price: 25.0, shipFee: 3.99, condition: Used - Very Good, positive: 95, rating: 267]
[price: 25.0, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 3010]
[price: 27.02, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 27.94, shipFee: 3.99, condition: Used - Like New, positive: 98, rating: 766]
[price: 33.24, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 509]
[price: 43.87, shipFee: 3.99, condition: New, positive: 95, rating: 414]
[price: 50.0, shipFee: 6.7, condition: Collectible - Very Good, positive: 98, rating: 278]
[price: 80.0, shipFee: 3.0, condition: Collectible - Very Good, positive: 97, rating: 1883]
Book: 1569220069 sorted results:
[price: 7.06, shipFee: 3.99, condition: Used - Acceptable, positive: 99, rating: 527]
[price: 7.07, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 2406]
[price: 15.22, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 18.91, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 25974]
[price: 77.92, shipFee: 5.12, condition: New, positive: 96, rating: 10325]
Book: 0670885517 sorted results:
[price: 5.75, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 201049]
[price: 5.76, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 5.76, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 102200]
[price: 1.79, shipFee: 3.97, condition: Used - Good, positive: 96, rating: 37108]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 95, rating: 260268]
[price: 5.99, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 27462]
[price: 5.99, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 284339]
[price: 5.99, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 327483]
[price: 5.99, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 346522]
[price: 5.99, shipFee: 0.0, condition: Used - Very Good, positive: 95, rating: 260270]
[price: 5.99, shipFee: 0.0, condition: Used - Very Good, positive: 95, rating: 260270]
[price: 5.99, shipFee: 0.0, condition: Used - Very Good, positive: 97, rating: 501088]
[price: 5.99, shipFee: 0.0, condition: Used - Very Good, positive: 97, rating: 501089]
[price: 2.5, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 4526]
[price: 3.0, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 10162]
[price: 3.0, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 10162]
[price: 7.45, shipFee: 0.0, condition: Used - Very Good, positive: 98, rating: 147947]
[price: 3.89, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 15996]
[price: 3.89, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 5605]
[price: 3.99, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 80243]
[price: 4.0, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 14535]
[price: 8.5, shipFee: 0.0, condition: Used - Very Good, positive: 97, rating: 711]
[price: 4.75, shipFee: 3.99, condition: Used - Very Good, positive: 99, rating: 2453]
[price: 4.95, shipFee: 3.99, condition: Used - Like New, positive: 98, rating: 143]
[price: 4.99, shipFee: 3.99, condition: Used - Like New, positive: 100, rating: 436]
[price: 5.0, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 228]
[price: 5.19, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 14535]
[price: 5.19, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 5605]
[price: 5.49, shipFee: 3.99, condition: Used - Very Good, positive: 99, rating: 23172]
[price: 5.75, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 2590]
[price: 5.84, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 15996]
[price: 5.95, shipFee: 3.99, condition: Used - Like New, positive: 99, rating: 142]
[price: 6.09, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 6.39, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 4526]
[price: 6.65, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 2069]
[price: 10.66, shipFee: 0.0, condition: New, positive: 95, rating: 478313]
[price: 6.67, shipFee: 3.99, condition: New, positive: 100, rating: 1623]
[price: 6.96, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 303512]
[price: 6.0, shipFee: 4.97, condition: Used - Very Good, positive: 98, rating: 1174]
[price: 6.99, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 11846]
[price: 7.48, shipFee: 3.99, condition: Used - Very Good, positive: 95, rating: 4574]
[price: 7.5, shipFee: 3.99, condition: Used - Very Good, positive: 97, rating: 406]
[price: 7.5, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 14251]
[price: 11.95, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 376]
[price: 8.0, shipFee: 3.99, condition: Used - Like New, positive: 100, rating: 228]
[price: 8.99, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 540]
[price: 9.0, shipFee: 3.99, condition: Used - Like New, positive: 99, rating: 1160]
[price: 8.0, shipFee: 4.99, condition: Used - Very Good, positive: 98, rating: 822]
[price: 9.0, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 421]
[price: 9.95, shipFee: 3.99, condition: Used - Like New, positive: 99, rating: 2091]
[price: 9.95, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 410396]
[price: 10.0, shipFee: 3.99, condition: Collectible - Very Good, positive: 100, rating: 421]
[price: 10.0, shipFee: 3.99, condition: Used - Acceptable, positive: 95, rating: 2827]
[price: 10.0, shipFee: 3.99, condition: Used - Acceptable, positive: 98, rating: 4452]
[price: 14.0, shipFee: 0.0, condition: Collectible - Like New, positive: 100, rating: 117]
[price: 10.49, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 7944]
[price: 10.97, shipFee: 3.99, condition: Collectible - Very Good, positive: 100, rating: 2055]
[price: 12.5, shipFee: 3.99, condition: New, positive: 98, rating: 250]
[price: 12.0, shipFee: 4.49, condition: Used - Like New, positive: 99, rating: 2255]
[price: 12.59, shipFee: 3.99, condition: Used - Like New, positive: 95, rating: 5664]
[price: 14.95, shipFee: 3.99, condition: Collectible - Very Good, positive: 99, rating: 7034]
[price: 15.95, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 18.0, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 1931]
[price: 18.55, shipFee: 3.99, condition: Used - Very Good, positive: 97, rating: 538]
[price: 18.95, shipFee: 3.99, condition: New, positive: 97, rating: 1828]
[price: 17.5, shipFee: 6.0, condition: Used - Very Good, positive: 100, rating: 736]
[price: 21.51, shipFee: 3.99, condition: Collectible - Like New, positive: 96, rating: 1193]
[price: 22.0, shipFee: 3.99, condition: Collectible - Like New, positive: 100, rating: 3336]
[price: 24.0, shipFee: 4.48, condition: Used - Like New, positive: 100, rating: 444]
[price: 24.99, shipFee: 3.99, condition: New, positive: 97, rating: 4158]
